Question ID,question_text,options,correct_answer,topic,difficulty,num_words,qstn_complexity
1,Which of the following activities is a data mining task?,A. Dividing the customers of a company according to their gender. | B. Predicting the future stock price of a company using historical records. | C. Computing the total sales of a company. | D. Monitoring the heart rate of a patient for abnormalities,Predicting the future stock price of a company using historical records. | Monitoring the heart rate of a patient for abnormalities,Data Mining Tasks,hard,10,8.370000000000001
2,What is the range of values possible for the cosine measure?,"A. [0,1] | B. [-1,1] | C. [0, infinity [ | D. [-infinity , 0[","[-1,1]",Similarity Measures,easy,11,5.863636363636363
3,Is the cosine measure sensitive to scaling ?,A. Yes | B. No,No,Similarity Measures,easy,8,7.368571428571428
4,Is the Euclidean distance sensitive to scaling ?,A. Yes | B. No,Yes,Similarity Measures,easy,8,7.368571428571428
5,"If two objects have a cosine measure of 1, are they identical?",A. Yes | B. No,No,Similarity Measures,medium,12,6.790000000000003
6,"To reduce the size of a daily time series, it is often preferable to:",A. Sample a weekly value | B. Use binning to reduce the number of data points. | C. Aggregate the values over the course of the week.,Aggregate the values over the course of the week.,Time Series Data,easy,14,7.570000000000004
7,Discrete variables cannot be ratio,A. True | B. False,False,Data Types,easy,5,14.68
8,What is the maximum value of Jaccard coefficient between two strings of 10 binary attributes?,A. 1 | B. 0 | C. 0.5 | D. 2,1,Data Types,easy,15,11.500000000000004
9,What does it mean when two variables have a linear correlation coefficient equal to 0?,A. There is no linear correlation between the two variables. | B. There is no correlation between the two variables. | C. The two variables are nonlinearly correlated. | D. The two variables are linearly correlated.,There is no linear correlation between the two variables.,Similarity Measures,easy,15,11.500000000000004
10,What method is used to fill missing values in a DataFrame with a specific value in Pandas?,A. df.impute(value) | B. df.nullify(value) | C. df.replace_nulls(value) | D. df.fillna(value),df.fillna(value),Programming Tools (NumPy/Pandas),easy,17,7.698823529411765
11,"Which Pandas method is used to calculate the mean, median, and other summary statistics ?",A. df.summarize() | B. df.statistics() | C. df.describe() | D. df.summarystats(),df.describe(),Programming Tools (NumPy/Pandas),easy,15,10.941428571428574
12,Which of the following functions can be used to create a NumPy array from a Python list?,A. numpy.array() | B. numpy.create_array() | C. numpy.from_list() | D. numpy.array_from_list(),numpy.array(),Programming Tools (NumPy/Pandas),easy,17,7.004705882352944
13,What is the shape of a NumPy array?,A. The data type of the array | B. The size of the first dimension of the array | C. The number of elements in each dimension | D. The total number of elements in the array,The number of elements in each dimension,Programming Tools (NumPy/Pandas),easy,8,0.8049999999999997
