Question ID,question_text,suggested_topic,quiz_num
1,Which of the following activities is a data mining task?,Data Mining Tasks,1
2,What is the range of values possible for the cosine measure?,Similarity Measures,1
3,Is the cosine measure sensitive to scaling ?,Similarity Measures,1
4,Is the Euclidean distance sensitive to scaling ?,Similarity Measures,1
5,"If two objects have a cosine measure of 1, are they identical?",Similarity Measures,1
6,"To reduce the size of a daily time series, it is often preferable to:",Time Series Data,1
7,Discrete variables cannot be ratio,Data Types,1
8,What is the maximum value of Jaccard coefficient between two strings of 10 binary attributes?,Data Types,1
9,What does it mean when two variables have a linear correlation coefficient equal to 0?,Similarity Measures,1
10,What method is used to fill missing values in a DataFrame with a specific value in Pandas?,Programming Tools (NumPy/Pandas),1
11,"Which Pandas method is used to calculate the mean, median, and other summary statistics ?",Programming Tools (NumPy/Pandas),1
12,Which of the following functions can be used to create a NumPy array from a Python list?,Programming Tools (NumPy/Pandas),1
13,What is the shape of a NumPy array?,Programming Tools (NumPy/Pandas),1
14,What is the type of this attribute: Social security number,Data Types,1
15,What is the type of this attribute: Number of courses registered by a student in a semester,Data Types,1
16,What is the type of this attribute: Speed of a car (in miles per hour),Data Types,1
17,"What is the type of this attribute: Movie ratings provided by users: 1, 2, 3, or 4-stars",Data Types,1
18,In which task does the primary goal involve finding patterns or relationships between variables without the need for predefined labels or categories?,Unsupervised Learning,1
19,An algorithm that finds relationships between items in a transactional database is used for:,Unsupervised Learning,1
20,"Which task involves predicting a binary outcome, typically represented as 0 or 1?",Data Types,1
21,What data mining task is often employed to determine the relationship between a dependent variable and one or more independent variables in order to make predictions?,Data Mining Tasks,1
22,In which task do you aim to reduce the number of attributes in a dataset while preserving the most relevant information?,Data Types,1
23,Which of the following visualization techniques can be used to explore the relationship between two numerical variables?,Unsupervised Learning,1
24,Which of the following visualization techniques can be used to explore the relationship between a continuous and categorical variable?,Data Types,1
25,Which of the following visualization techniques can be used to explore the relationship between two categorical variables?,Unsupervised Learning,1
26,Which statistical measures  are useful for quantifying the dispersion or variation of an attribute?,Data Types,1
27,What is the primary purpose of data discretization in data pre-processing?,Data Preprocessing,1
28,What is the primary goal of data pre-processing techniques like feature scaling or normalization?,Scaling & Normalization,1
29,Which data pre-processing technique is used for scaling features to have a mean of 0 and a standard deviation of 1?,Scaling & Normalization,1
30,What is the primary purpose of data sampling in data pre-processing?,Data Preprocessing,1
31,What is the primary goal of dimensionality reduction techniques in data mining?,Data Mining Tasks,2
32,Feature selection aims to:,Feature Selection,2
33,Which of the following is an example of a feature extraction technique?,Feature Extraction,2
34,"In PCA, what is the primary goal of orthogonal transformation?",Principal Component Analysis,2
35,How are principal components in PCA ordered in terms of importance?,Principal Component Analysis,2
36,Which of the following is an advantage of PCA?,Principal Component Analysis,2
37,Feature extraction differs from feature selection in that it:,Feature Selection,2
38,"In PCA, what is the role of eigenvalues and eigenvectors in the dimensionality reduction process?",Principal Component Analysis,2
39,"In PCA, what are the principal components?",Principal Component Analysis,2
40,Which principal component explains the most variance in the data?,Principal Component Analysis,2
41,"In PCA, how is the number of retained principal components is determined?",Principal Component Analysis,2
42,What is the relationship between the first principal component (PC1) and the second principal component (PC2)?,Principal Component Analysis,2
43,"When performing PCA, what is the role of the covariance matrix of the original features?",Principal Component Analysis,2
44,What is the main drawback of using PCA for dimensionality reduction?,Data Mining Tasks,2
45,"When we apply the SVD decomposition directly on the centered data matrix X, we obtain:",Principal Component Analysis,2
46,"When a scaled data is uniformly distributed within a sphere centered at the origin, the eigenvalues of the PCs are:",Principal Component Analysis,2
47,"The information gain of a categorical variable with itself IG(x,x) is equal to:",Decision Trees,2
48,The maximum value of entropy for a categorical variable with n categories is:,Decision Trees,2
49,How many trained models are required to select the initial attribute in forward selection when there are 100 original attributes?,Data Types,2
50,What feature selection technique is capable of identifying intricate relationships and interactions among features when employed as predictors?,Feature Selection,2
51,What feature selection method would be most suitable for a high-dimensional dataset with millions of features?,Feature Selection,2
52,"Consider a dataset that can be fully expressed in m dimensions. This dataset is rotated and expressed in a higher n-dimensional space, where n > m. In the PCA decomposition of this rotated dataset, how many eigenvalues will be zero",Principal Component Analysis,2
53,What is the primary purpose of Feature Subset Selection in data mining?,Feature Selection,2
54,Which of the following statements is true regarding the information gain of a feature?,Decision Trees,2
55,"In the context of feature selection, what does ""impurity"" represent when evaluating candidate features?",Feature Selection,2
56,"In the process of feature selection, what is the role of the ""Objective Function"" and ""Search Strategy""?",Feature Selection,2
57,"In genetic algorithms for feature selection, what role does the ""crossover operator"" play in the process?",Feature Selection,2
58,What are the primary advantages of unsupervised feature selection methods when compared to other feature selection methods?,Feature Selection,2
59,"When comparing feature selection methods, what is a shared disadvantage of both filter and unsupervised methods?",Feature Selection,2
60,What is a distinguishing characteristic of filter methods in feature selection when compared to  wrapper methods?,Feature Selection,2
61,What is the impact of outliers on K-means clustering?,K-means Clustering,3
62,How does the choice of the number of clusters (K) affect the performance of K-means?,K-means Clustering,3
63,"In agglomerative hierarchical clustering, what does the term ""linkage"" refer to?",Hierarchical Clustering,3
64,What is the primary goal of unsupervised learning?,Unsupervised Learning,3
65,What is the primary challenge in evaluating the performance of unsupervised learning algorithms?,Unsupervised Learning,3
66,How does DBSCAN handle outliers?,DBSCAN,3
67,"What does the ""dendrogram"" represent in hierarchical clustering?",Hierarchical Clustering,3
68,"In hierarchical clustering, what is the role of the ""cut-off"" in dendrogram visualization?",Hierarchical Clustering,3
69,Which criterion is commonly used to determine the optimal number of clusters in K-means?,K-means Clustering,3
70,"In K-means clustering, how do you determine the optimal number of clusters?",K-means Clustering,3
71,What is the purpose of a dendrogram in hierarchical clustering?,Hierarchical Clustering,3
72,Hierarchical clustering is a deterministic algorithm. What does this mean?,Hierarchical Clustering,3
73,Why is cluster evaluation important?,Model Evaluation,3
74,"In clustering evaluation, what does entropy measure?",Similarity Measures,3
75,"In clustering evaluation, what does higher precision mean:",Model Evaluation,3
76,Which points cannot be directly density-reachable from any border point?,DBSCAN,3
77,What is the disadvantage of the DBSCAN algorithm?,DBSCAN,3
78,"Suppose that for a data set: there are m points and K clusters, half the points and clusters are in “more dense” regions, half the points and clusters are in “less dense” regions, and the two regions are well-separated from each other. Which of the following should occur to minimize the squared error when finding K clusters:",K-means Clustering,3
79,How is entropy used in cluster evaluation?,Decision Trees,3
