Question ID,question_text,options,correct_answer
121,"In the Apriori algorithm, what is the significance of the ""pruning"" step?",A. It removes infrequent itemsets from consideration. | B. It adds more itemsets to the frequent itemsets list. | C. It increases the minimum support threshold. | D. It reorganizes the transaction database.,It removes infrequent itemsets from consideration.
122,"In the context of association rules, what is lift?",A. It measures the overall strength of the association between items. | B. It quantifies the likelihood of a rule being true. | C. It indicates the independence of items. | D. It represents the size of the dataset.,It indicates the independence of items.
123,What does a high lift value indicate in association rule mining?,A. Strong association between items. | B. Weak association between items. | C. No association between items. | D. Perfect correlation between items.,Strong association between items.
124,How does increasing the confidence threshold impact the number of generated association rules?,A. Increases the number of rules. | B. Decreases the number of rules. | C. Has no effect on the number of rules. | D. Randomly affects the number of rules.,Decreases the number of rules.
125,What is the primary advantage of using FP-growth over the Apriori algorithm?,A. It requires fewer passes over the dataset. | B. It has higher accuracy in rule discovery. | C. It can only handle binary data. | D. It is more straightforward to implement.,It requires fewer passes over the dataset.
126,"What role does the ""confidence"" measure play in evaluating association rules?",A. It quantifies the likelihood of a rule being true. | B. It measures the overall strength of the association between items. | C. It determines the frequency of individual items. | D. It represents the size of the dataset.,It quantifies the likelihood of a rule being true.
127,"In the context of association rules, when is a rule considered ""interesting""?",A. When it has low confidence and high support. | B. When it has high confidence and support=50%. | C. When it has high confidence and support=100%. | D. When it has low confidence and low support.,When it has high confidence and support=50%.
128,"Given that {a,b}, {b,c} and {a,c} are frequent itemsets, then:","A. {a,b,c} is always frequent. | B. {a,b,c} is never frequent. | C. The frequency of {a,b,c} cannot be determined from the given information.","The frequency of {a,b,c} cannot be determined from the given information."
129,Which statement is false regarding FP-growth algorithms?,A. It discovers frequent itemsets without generating candidates. | B. There is a possibility that FP trees may not fit into memory. | C. Building FP trees is a cost-effective process. | D. It enlarges the original database to construct FP trees.,It enlarges the original database to construct FP trees.
130,Which option is a technique for enhancing the efficiency of the Apriori algorithm?,A. Hash-based techniques. | B. Transaction Increases. | C. Sampling. | D. Cleaning.,Hash-based techniques.
